Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_174,3.877884225,0.972480588,0.8125,0.698275862,0.425791143,1,1.633301083,0.682926829,1.587662361,0.731707317,0.936809338,1,2.040918891,0.636363636,2.02374799,0.982758621,1.916678491,1,1.650872916,0.844444426,1.234908166,0.78947367
subject_175,5.098611884,1.011054229,0.866666667,0.627118644,0.283996292,1,1.247574098,0.869565217,1.336991357,0.702702703,0.979471027,1,1.06791097,0.9,1.97138574,0.962264151,1.898297133,0.961538462,1.495501334,0.902439002,1.458573425,0.524590155
subject_176,5.493946611,1.078089568,0.705882353,0.881188119,0.462370583,1,1.140447664,0.867924528,1.258939115,0.769230769,1.986533882,0.727272727,0.951347755,1,3.642568776,0.642857143,2.032866554,0.981481481,1.391547937,0.731707299,1.288497452,0.688524579
subject_177,4.158677802,1.041591769,0.384615385,0.292929293,0.419333504,1,0.80562816,0.872340426,0.989075662,0.833333333,0.918029318,1,1.08239673,1,2.59296443,0.76,1.927932225,1,0.852736578,0.877551002,1.056834823,0.67272726
subject_178,4.131602592,1.079560106,0.588235294,0.949494949,0.363788411,1,0.787278655,0.787234043,0.65713871,0.87755102,0.592291022,1,0.520945611,0.888888889,2.439704744,0.953488372,1.863573522,0.982758621,0.954094941,0.707317056,1.020783826,0.672131137
subject_179,3.753085503,1.013836535,0.764705882,0.918032787,0.334022581,1,0.892610982,0.75,1.037247733,0.822222222,1.02774671,1,0.699627809,1,2.384179641,0.854166667,1.901527769,0.940298507,1.139349628,0.923076899,0.877392522,0.82089551
subject_18,4.281269951,0.98313381,0.8,0.941666667,1.316989826,0.84,1.372800691,0.5,0.973636929,0.724137931,1.63681415,0.9,0.917567645,0.818181818,2.319517195,0.98245614,1.972352354,1,2.485879484,0.605263142,2.556733582,0.488372082
subject_180,2.181593376,1.011270897,0.5625,0.953125,0.370249951,1,0.366828639,0.542372881,0.272959497,0.471428571,0.754793025,1,1.161157691,0.909090909,2.103285327,0.857142857,1.878223317,0.86440678,0.598039218,0.704545439,0.317182392,0.578947361
subject_181,4.052001241,1.054911203,0.733333333,0.823529412,0.353114658,1,1.076523859,0.707317073,0.989648216,0.745454545,1.103428117,1,0.606766211,1,2.215521871,0.625,1.907412488,0.931034483,0.891470316,0.933333313,0.892776387,0.809523797
subject_182,3.229885406,1.051036898,0.666666667,0.330097087,0.504252446,1,0.952293458,0.736842105,0.757603179,0.839285714,2.42534539,0.5,1.225452544,1,2.158151477,0.852459016,2.285628397,0.803571429,2.140950326,0.718749978,1.788663385,0.421052624
subject_183,4.135175402,0.955960827,0.692307692,0.921875,0.414143607,1,1.121570805,0.880952381,1.065504369,0.755102041,0.994998782,1,0.678735233,1,2.083308504,0.884615385,1.89639142,0.98,0.929053609,0.906976723,0.859175463,0.858974348
