Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
Movie_Task-incept,subject_5,9,9.0,2.0,1.0,8.0,7.900000000000004,8.399999999999995,2.3,8.699999999999994,9.499999999999988,1.0,2.0,2.4999999999999987,1.0,7.3000000000000025,1.0,1.7999999999999976,-0.071676786,0.167172575,-0.311553447,0.016855175,0.110801794
Movie_Task-incept,subject_5,9,9.0,2.0,1.0,8.0,7.900000000000004,8.399999999999995,2.3,8.699999999999994,9.499999999999988,1.0,2.0,2.4999999999999987,1.0,7.3000000000000025,1.0,1.7999999999999976,-0.071676786,0.167172575,-0.311553447,0.016855175,0.110801794
Movie_Task-bridge,subject_5,-15,6.0,10.0,1.0,5.0,4.400000000000001,8.0,2.0,5.200000000000003,6.500000000000002,1.0,5.100000000000014,5.600000000000005,8.800000000000004,6.100000000000003,3.3000000000000056,1.0,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Movie_Task-bridge,subject_5,-15,6.0,10.0,1.0,5.0,4.400000000000001,8.0,2.0,5.200000000000003,6.500000000000002,1.0,5.100000000000014,5.600000000000005,8.800000000000004,6.100000000000003,3.3000000000000056,1.0,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Two-Back_Task-faces,subject_5,9,2.6000000000000005,10.0,4.300000000000001,2.0,1.0,7.099999999999993,6.599999999999995,4.300000000000017,1.6999999999999993,1.0,4.000000000000013,3.9000000000000026,6.4999999999999964,5.100000000000014,1.0,5.400000000000016,0.041169565,0.307960139,0.254058783,-0.151804839,-0.118959976
Two-Back_Task-faces,subject_5,-7,5.600000000000016,6.0,5.000000000000014,3.0,1.9999999999999973,7.8999999999999915,3.0,4.0,10.0,1.0,5.0000000000000036,5.700000000000008,6.2000000000000135,5.599999999999999,10.0,5.300000000000001,0.041169565,0.307960139,0.254058783,-0.151804839,-0.118959976
Two-Back_Task-scenes,subject_5,-13,8.300000000000002,7.0,8.0,7.899999999999993,1.0,10.0,6.699999999999994,4.0,4.100000000000007,1.0,4.0,6.7999999999999945,5.400000000000001,5.0,1.0,4.0,-0.012657018,0.377850234,0.235790187,-0.132261081,-0.16764315
Two-Back_Task-scenes,subject_5,12,4.299999999999999,1.0,5.600000000000016,8.69999999999999,1.0,8.0,5.000000000000011,2.0,8.0,1.0,7.3000000000000025,7.0000000000000036,1.0,5.8,1.0,1.0,-0.012657018,0.377850234,0.235790187,-0.132261081,-0.16764315
Finger_Tapping_Task,subject_5,15,10.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,6.199999999999999,1.0,1.0,1.0,10.0,5.000000000000014,1.0,1.0,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_5,13,10.0,6.0,3.0,6.0,5.0,2.0,1.0,10.0,7.199999999999992,1.0,5.0,5.900000000000004,7.199999999999992,5.7,4.0,3.0,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_5,9,7.89999999999999,7.0,4.000000000000013,1.4999999999999984,5.6999999999999975,5.9999999999999964,1.0,7.699999999999991,8.0,1.0,5.2000000000000135,4.900000000000018,10.0,5.5,7.0,1.0,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
